Intervals per Rule = 1
Rules per class = 10
Iterations = 10000
Training File = ˆ$­û
Test File = ˆ$­û
best on training set at iteration 0:  33%
 19-[-0  5] -> 2
 61-[3  16] -> 2
 3-[12  16] -> 2
 54-[7  12] -> 2
 36-[3  16] -> 2
 51-[13  16] -> 2
 12-[5  16] -> 2
 21-[2  12] -> 2
 22-[-0  15] -> 2
 45-[-0  2] -> 2
 11-[2  12] -> 3
 33-[0  6] -> 3
 38-[1  13] -> 3
 3-[1  14] -> 3
 18-[0  5] -> 3
 50-[0  5] -> 3
 29-[2  10] -> 3
 45-[5  15] -> 3
 28-[6  16] -> 3
 16-[-0  5] -> 3
 47-[-0  4] -> 4
 60-[5  16] -> 4
 14-[2  13] -> 4
 20-[0  12] -> 4
 13-[-0  6] -> 4
 54-[-0  4] -> 4
 51-[-0  5] -> 4
 19-[5  16] -> 4
 2-[-0  6] -> 4
 3-[0  4] -> 4
 29-[1  16] -> 5
 34-[-0  3] -> 5
 38-[2  10] -> 5
 14-[-0  7] -> 5
 61-[-0  8] -> 5
 7-[-0  8] -> 5
 18-[4  16] -> 5
 58-[1  6] -> 5
 29-[13  16] -> 5
 45-[10  14] -> 5
 38-[1  3] -> 6
 8-[-0  1] -> 6
 53-[4  13] -> 6
 63-[-0  1] -> 6
 21-[-0  13] -> 6
 46-[9  16] -> 6
 18-[7  16] -> 6
 12-[-0  13] -> 6
 42-[3  16] -> 6
 1-[-0  14] -> 6
 60-[-0  6] -> 7
 62-[-0  8] -> 7
 18-[-0  4] -> 7
 23-[-0  9] -> 7
 44-[8  15] -> 7
 18-[-0  3] -> 7
 29-[13  16] -> 7
 28-[5  16] -> 7
 46-[-0  10] -> 7
 3-[7  15] -> 7
 14-[-0  13] -> 8
 34-[4  16] -> 8
 61-[4  11] -> 8
 13-[7  16] -> 8
 27-[12  16] -> 8
 17-[3  10] -> 8
 27-[14  16] -> 8
 11-[1  12] -> 8
 18-[9  15] -> 8
 38-[-0  10] -> 8
 38-[-0  15] -> 9
 16-[-0  4] -> 9
 58-[-0  9] -> 9
 9-[-0  6] -> 9
 13-[2  6] -> 9
 6-[8  14] -> 9
 30-[1  11] -> 9
 43-[-0  9] -> 9
 19-[2  14] -> 9
 13-[7  16] -> 9
ACCURACY on training set 92%

TEST ACCURACY 38.6133%
