Intervals per Rule = 1
Rules per class = 40
Iterations = 10000
Training File = ˆ$­û
Test File = ˆ$­û
best on training set at iteration 0:  45.8458%
best on training set at iteration 9900:  90.6907%

 47-[-0  5] -> 0
 12-[5  16] -> 0
 40-[-0  11] -> 0
 3-[11  16] -> 0
 15-[-0  14] -> 0
 21-[1  14] -> 0
 48-[-0  9] -> 0
 20-[-0  3] -> 0
 42-[1  16] -> 0
 42-[7  13] -> 0
 23-[-0  11] -> 0
 29-[4  15] -> 0
 22-[1  4] -> 0
 53-[11  16] -> 0
 26-[4  13] -> 0
 33-[2  12] -> 0
 25-[3  10] -> 0
 36-[-0  9] -> 0
 57-[-0  7] -> 0
 58-[4  11] -> 0
 1-[-0  1] -> 0
 30-[3  14] -> 0
 28-[-0  13] -> 0
 42-[14  16] -> 0
 60-[12  15] -> 0
 36-[-0  9] -> 0
 22-[1  13] -> 0
 24-[-0  8] -> 0
 21-[7  13] -> 0
 13-[2  14] -> 0
 11-[10  16] -> 0
 37-[2  15] -> 0
 28-[-0  4] -> 0
 44-[0  8] -> 0
 52-[7  15] -> 0
 20-[-0  7] -> 0
 5-[8  10] -> 0
 57-[-0  1] -> 0
 57-[-0  4] -> 0
 35-[-0  11] -> 0
 42-[-0  15] -> 1
 54-[-0  1] -> 1
 16-[-0  4] -> 1
 46-[-0  6] -> 1
 42-[-0  8] -> 1
 34-[-0  4] -> 1
 10-[1  11] -> 1
 34-[13  15] -> 1
 19-[14  16] -> 1
 46-[-0  10] -> 1
 23-[-0  10] -> 1
 30-[-0  3] -> 1
 51-[8  16] -> 1
 63-[-0  16] -> 1
 53-[3  16] -> 1
 53-[2  12] -> 1
 13-[7  15] -> 1
 27-[10  16] -> 1
 9-[-0  1] -> 1
 60-[10  16] -> 1
 14-[-0  5] -> 1
 41-[-0  15] -> 1
 34-[-0  3] -> 1
 25-[-0  6] -> 1
 52-[10  16] -> 1
 60-[2  6] -> 1
 42-[13  16] -> 1
 27-[15  16] -> 1
 8-[-0  12] -> 1
 28-[5  16] -> 1
 9-[-0  4] -> 1
 12-[14  16] -> 1
 13-[1  13] -> 1
 26-[6  16] -> 1
 20-[5  16] -> 1
 4-[1  9] -> 1
 40-[-0  6] -> 1
 11-[3  16] -> 1
 9-[-0  7] -> 1
 42-[-0  12] -> 1
 22-[-0  6] -> 2
 6-[-0  2] -> 2
 58-[6  16] -> 2
 42-[1  16] -> 2
 25-[0  9] -> 2
 53-[8  16] -> 2
 23-[-0  1] -> 2
 43-[4  13] -> 2
 27-[1  10] -> 2
 18-[0  15] -> 2
 22-[-0  2] -> 2
 51-[6  16] -> 2
 55-[0  16] -> 2
 12-[1  16] -> 2
 50-[10  16] -> 2
 26-[-0  14] -> 2
 53-[1  13] -> 2
 14-[-0  11] -> 2
 54-[4  10] -> 2
 9-[1  14] -> 2
 45-[-0  6] -> 2
 58-[7  16] -> 2
 11-[5  16] -> 2
 28-[15  16] -> 2
 33-[-0  2] -> 2
 61-[2  16] -> 2
 52-[10  16] -> 2
 6-[-0  7] -> 2
 47-[-0  10] -> 2
 45-[3  11] -> 2
 24-[-0  8] -> 2
 51-[15  16] -> 2
 46-[-0  10] -> 2
 31-[-0  8] -> 2
 2-[10  13] -> 2
 62-[8  16] -> 2
 29-[4  9] -> 2
 37-[-0  16] -> 2
 45-[13  15] -> 2
 47-[-0  5] -> 2
 13-[3  16] -> 3
 36-[3  11] -> 3
 52-[2  7] -> 3
 11-[2  15] -> 3
 60-[11  15] -> 3
 5-[1  13] -> 3
 56-[-0  9] -> 3
 53-[9  16] -> 3
 51-[2  5] -> 3
 2-[4  15] -> 3
 26-[-0  6] -> 3
 26-[-0  7] -> 3
 3-[11  16] -> 3
 23-[-0  13] -> 3
 18-[0  3] -> 3
 37-[14  16] -> 3
 20-[12  15] -> 3
 55-[-0  9] -> 3
 23-[-0  1] -> 3
 4-[11  16] -> 3
 28-[11  16] -> 3
 29-[3  13] -> 3
 25-[-0  3] -> 3
 3-[6  16] -> 3
 11-[5  16] -> 3
 59-[10  16] -> 3
 39-[-0  8] -> 3
 54-[1  5] -> 3
 1-[0  9] -> 3
 63-[-0  4] -> 3
 43-[-0  2] -> 3
 11-[2  14] -> 3
 62-[-0  4] -> 3
 58-[7  12] -> 3
 26-[-0  8] -> 3
 29-[-0  8] -> 3
 35-[-0  6] -> 3
 52-[8  16] -> 3
 26-[-0  4] -> 3
 25-[-0  7] -> 3
 24-[-0  11] -> 4
 26-[4  16] -> 4
 6-[-0  8] -> 4
 49-[-0  10] -> 4
 4-[2  16] -> 4
 14-[4  12] -> 4
 17-[-0  11] -> 4
 54-[-0  7] -> 4
 45-[14  16] -> 4
 38-[1  14] -> 4
 47-[-0  7] -> 4
 57-[-0  6] -> 4
 24-[-0  14] -> 4
 61-[-0  1] -> 4
 36-[2  7] -> 4
 58-[-0  1] -> 4
 1-[-0  6] -> 4
 45-[4  16] -> 4
 19-[6  15] -> 4
 17-[0  3] -> 4
 14-[3  14] -> 4
 50-[-0  5] -> 4
 8-[-0  16] -> 4
 58-[-0  3] -> 4
 13-[0  8] -> 4
 26-[10  12] -> 4
 50-[-0  5] -> 4
 6-[-0  2] -> 4
 55-[-0  11] -> 4
 57-[-0  6] -> 4
 46-[-0  11] -> 4
 45-[5  11] -> 4
 44-[7  16] -> 4
 46-[2  12] -> 4
 34-[7  16] -> 4
 61-[1  9] -> 4
 50-[3  14] -> 4
 30-[9  16] -> 4
 49-[-0  11] -> 4
 34-[8  16] -> 4
 49-[-0  14] -> 5
 16-[-0  13] -> 5
 13-[3  8] -> 5
 61-[0  9] -> 5
 19-[8  12] -> 5
 41-[-0  3] -> 5
 25-[-0  9] -> 5
 27-[4  15] -> 5
 49-[3  8] -> 5
 21-[-0  6] -> 5
 5-[5  15] -> 5
 1-[-0  14] -> 5
 9-[-0  16] -> 5
 25-[4  16] -> 5
 22-[-0  10] -> 5
 34-[1  4] -> 5
 19-[0  9] -> 5
 12-[1  13] -> 5
 17-[1  8] -> 5
 4-[10  16] -> 5
 21-[-0  5] -> 5
 58-[4  10] -> 5
 22-[-0  2] -> 5
 42-[-0  7] -> 5
 45-[6  16] -> 5
 37-[0  16] -> 5
 53-[2  10] -> 5
 49-[-0  13] -> 5
 26-[11  16] -> 5
 49-[-0  8] -> 5
 28-[2  15] -> 5
 5-[12  16] -> 5
 11-[9  16] -> 5
 32-[-0  5] -> 5
 42-[-0  2] -> 5
 23-[-0  9] -> 5
 49-[-0  15] -> 5
 21-[-0  4] -> 5
 32-[-0  1] -> 5
 2-[4  14] -> 5
 50-[1  9] -> 6
 15-[-0  12] -> 6
 20-[-0  9] -> 6
 33-[2  11] -> 6
 25-[-0  2] -> 6
 40-[-0  7] -> 6
 2-[2  8] -> 6
 54-[1  15] -> 6
 58-[-0  4] -> 6
 56-[-0  13] -> 6
 26-[11  13] -> 6
 63-[-0  9] -> 6
 45-[3  16] -> 6
 21-[-0  2] -> 6
 25-[-0  12] -> 6
 12-[3  13] -> 6
 54-[9  10] -> 6
 63-[-0  1] -> 6
 43-[2  16] -> 6
 40-[-0  4] -> 6
 60-[6  16] -> 6
 62-[3  8] -> 6
 17-[-0  9] -> 6
 34-[7  16] -> 6
 29-[1  11] -> 6
 35-[10  16] -> 6
 29-[-0  1] -> 6
 21-[-0  11] -> 6
 57-[-0  7] -> 6
 54-[1  12] -> 6
 30-[-0  6] -> 6
 43-[5  15] -> 6
 54-[2  15] -> 6
 10-[2  7] -> 6
 55-[-0  15] -> 6
 42-[6  15] -> 6
 11-[9  15] -> 6
 46-[7  16] -> 6
 1-[-0  9] -> 6
 51-[10  15] -> 6
 20-[1  13] -> 7
 17-[-0  4] -> 7
 60-[-0  7] -> 7
 18-[-0  8] -> 7
 15-[-0  5] -> 7
 41-[-0  16] -> 7
 46-[-0  7] -> 7
 56-[-0  3] -> 7
 14-[-0  11] -> 7
 10-[3  9] -> 7
 37-[4  10] -> 7
 39-[-0  10] -> 7
 36-[10  16] -> 7
 19-[1  4] -> 7
 19-[12  16] -> 7
 27-[2  14] -> 7
 18-[7  16] -> 7
 3-[7  16] -> 7
 45-[3  7] -> 7
 4-[3  16] -> 7
 54-[-0  14] -> 7
 26-[-0  10] -> 7
 43-[6  16] -> 7
 11-[4  13] -> 7
 21-[2  14] -> 7
 6-[1  16] -> 7
 38-[1  12] -> 7
 40-[-0  2] -> 7
 13-[9  16] -> 7
 23-[-0  15] -> 7
 53-[-0  11] -> 7
 19-[-0  7] -> 7
 58-[4  16] -> 7
 51-[6  15] -> 7
 12-[6  16] -> 7
 42-[1  10] -> 7
 12-[4  16] -> 7
 61-[-0  1] -> 7
 60-[-0  9] -> 7
 40-[-0  9] -> 7
 56-[-0  5] -> 8
 51-[2  14] -> 8
 50-[2  16] -> 8
 20-[1  13] -> 8
 56-[-0  9] -> 8
 20-[4  10] -> 8
 22-[-0  8] -> 8
 27-[6  16] -> 8
 6-[0  10] -> 8
 25-[-0  4] -> 8
 36-[13  16] -> 8
 42-[8  16] -> 8
 27-[11  16] -> 8
 2-[3  8] -> 8
 42-[1  6] -> 8
 60-[9  16] -> 8
 12-[1  8] -> 8
 21-[5  16] -> 8
 9-[1  11] -> 8
 18-[11  15] -> 8
 21-[4  15] -> 8
 29-[1  9] -> 8
 19-[4  16] -> 8
 42-[4  13] -> 8
 33-[-0  5] -> 8
 39-[-0  15] -> 8
 52-[7  13] -> 8
 11-[3  15] -> 8
 62-[-0  5] -> 8
 17-[1  10] -> 8
 61-[-0  7] -> 8
 9-[-0  13] -> 8
 35-[10  16] -> 8
 16-[-0  -0] -> 8
 15-[-0  11] -> 8
 8-[-0  9] -> 8
 54-[-0  7] -> 8
 18-[9  15] -> 8
 33-[-0  3] -> 8
 23-[-0  15] -> 8
 43-[-0  5] -> 9
 33-[-0  4] -> 9
 61-[14  16] -> 9
 45-[5  16] -> 9
 17-[-0  5] -> 9
 7-[-0  15] -> 9
 61-[1  13] -> 9
 60-[2  16] -> 9
 58-[6  14] -> 9
 6-[-0  7] -> 9
 22-[1  8] -> 9
 49-[-0  9] -> 9
 4-[9  13] -> 9
 30-[-0  16] -> 9
 36-[-0  1] -> 9
 36-[-0  13] -> 9
 26-[2  12] -> 9
 8-[-0  10] -> 9
 36-[-0  7] -> 9
 20-[3  11] -> 9
 28-[2  16] -> 9
 30-[1  13] -> 9
 61-[-0  14] -> 9
 9-[1  9] -> 9
 27-[10  16] -> 9
 25-[-0  1] -> 9
 42-[-0  5] -> 9
 28-[13  16] -> 9
 55-[-0  11] -> 9
 49-[-0  12] -> 9
 42-[-0  5] -> 9
 18-[3  14] -> 9
 48-[-0  12] -> 9
 60-[8  16] -> 9
 60-[7  16] -> 9
 24-[-0  11] -> 9
 43-[-0  11] -> 9
 51-[-0  5] -> 9
 30-[2  12] -> 9
 38-[6  12] -> 9
ACCURACY on training set 90.7908%

TEST ACCURACY 77.2329%
